Trinity_ID	178	359	463	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN293_c0_g1_i2	7	7	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13226_c2_g1_i4	0	4	0	1	sp	Q5E9A3	PCBP1_BOVIN	20.5	371	250	10	89	1159	8	347	9.3e-08	60.1	PCBP1_BOVIN	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1)	PCBP1	Bos taurus (Bovine)	356	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of RNA metabolic process [GO:0051252]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of RNA metabolic process [GO:0051252]	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	GO:0003697; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005737; GO:0010468; GO:0045944; GO:0051252
TRINITY_DN84_c0_g1_i24	0	1	0	1	sp	Q18885	BTF3_CAEEL	51	143	68	1	81	503	12	154	1.7e-33	144.8	BTF3_CAEEL	reviewed	Transcription factor BTF3 homolog (Inhibitor of cell death 1) (Nascent polypeptide-associated complex subunit beta) (NAC-beta)	icd-1 C56C10.8	Caenorhabditis elegans	161	embryo development ending in birth or egg hatching [GO:0009792]; negative regulation of apoptotic process [GO:0043066]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; embryo development ending in birth or egg hatching [GO:0009792]; negative regulation of apoptotic process [GO:0043066]		GO:0005634; GO:0005739; GO:0005829; GO:0005854; GO:0009792; GO:0042788; GO:0043066
TRINITY_DN25172_c0_g1_i41	14	30	61	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN6056_c0_g1_i4	0	2	0	1	sp	A4UHC0	CALM_ALEFU	75.8	149	36	0	77	523	1	149	2.9e-60	234.2	CALM_ALEFU	reviewed	Calmodulin (CaM)		Alexandrium fundyense (Dinoflagellate)	149	calcium-mediated signaling [GO:0019722]		calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]	calcium ion binding [GO:0005509]	GO:0005509; GO:0019722
TRINITY_DN108253_c0_g1_i1	17	45	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN862_c0_g1_i6	0	12	0	1	sp	A7EJY3	DED1_SCLS1	51.6	417	187	4	131	1345	166	579	4.3e-109	397.1	DED1_SCLS1	reviewed	ATP-dependent RNA helicase ded1 (EC 3.6.4.13)	ded1 SS1G_05629	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	678		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	GO:0003723; GO:0003724; GO:0003743; GO:0005524; GO:0005634; GO:0005737
TRINITY_DN493_c0_g1_i10	15	3	0	2	sp	P35684	RL3_ORYSJ	68.4	380	116	3	2	1132	10	388	8e-152	538.1	RL3_ORYSJ	reviewed	60S ribosomal protein L3	RPL3 Os12g0167900 LOC_Os12g07010	Oryza sativa subsp. japonica (Rice)	389	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003723; GO:0003735; GO:0006412; GO:0022625
TRINITY_DN4443_c0_g1_i1	8	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1556_c0_g1_i5	0	4	0	1	sp	Q54WR9	GLNA3_DICDI	37.5	704	395	10	270	2291	45	733	2.6e-127	458.4	GLNA3_DICDI	reviewed	Type-3 glutamine synthetase (EC 6.3.1.2) (Type-3 glutamate--ammonia ligase) (Type-3 GS)	glnA3 glnB DDB_G0279591	Dictyostelium discoideum (Slime mold)	735	nitrogen compound metabolic process [GO:0006807]; response to bacterium [GO:0009617]	phagocytic vesicle [GO:0045335]	phagocytic vesicle [GO:0045335]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; nitrogen compound metabolic process [GO:0006807]; response to bacterium [GO:0009617]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]	GO:0004356; GO:0005524; GO:0006807; GO:0009617; GO:0045335
TRINITY_DN2470_c0_g1_i8	0	38	0	1	sp	B1A4F7	VDDP4_VESVU	36	786	474	13	1872	4208	8	771	1.6e-137	492.7	VDDP4_VESVU	reviewed	Venom dipeptidyl peptidase 4 (EC 3.4.14.5) (Venom dipeptidyl peptidase IV) (allergen Ves v 3)		Vespula vulgaris (Yellow jacket) (Wasp)	776		extracellular region [GO:0005576]	extracellular region [GO:0005576]; aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236]	aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236]	GO:0004177; GO:0005576; GO:0008236
TRINITY_DN304_c0_g2_i1	21	3	0	2	sp	P59271	R27AA_ARATH	45.5	156	78	2	46	492	1	156	7.2e-34	145.6	R27AA_ARATH	reviewed	Ubiquitin-40S ribosomal protein S27a-1 [Cleaved into: Ubiquitin; 40S ribosomal protein S27a-1]	RPS27AA UBQ16 At1g23410 F26F24.28 F28C11.5	Arabidopsis thaliana (Mouse-ear cress)	156	modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	GO:0003735; GO:0005634; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625; GO:0046872
TRINITY_DN4151_c0_g1_i61	2	4	0	1	sp	Q03392	PCNA_SCHPO	27.8	252	174	4	129	875	12	258	5.3e-27	123.6	PCNA_SCHPO	reviewed	Proliferating cell nuclear antigen (PCNA)	pcn1 pcn SPBC16D10.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	260	DNA strand elongation involved in DNA replication [GO:0006271]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; leading strand elongation [GO:0006272]; mismatch repair [GO:0006298]; mitotic DNA replication lagging strand elongation [GO:1903459]; mitotic DNA replication leading strand elongation [GO:1903460]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264]; postreplication repair [GO:0006301]; translesion synthesis [GO:0019985]; UV-damage excision repair [GO:0070914]	cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PCNA complex [GO:0043626]; site of double-strand break [GO:0035861]	cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PCNA complex [GO:0043626]; site of double-strand break [GO:0035861]; DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]; DNA strand elongation involved in DNA replication [GO:0006271]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; leading strand elongation [GO:0006272]; mismatch repair [GO:0006298]; mitotic DNA replication lagging strand elongation [GO:1903459]; mitotic DNA replication leading strand elongation [GO:1903460]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264]; postreplication repair [GO:0006301]; translesion synthesis [GO:0019985]; UV-damage excision repair [GO:0070914]	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]	GO:0000790; GO:0003677; GO:0005634; GO:0005654; GO:0005829; GO:0006271; GO:0006272; GO:0006298; GO:0006301; GO:0019985; GO:0030337; GO:0035861; GO:0042276; GO:0043596; GO:0043626; GO:0070914; GO:0070987; GO:1900264; GO:1903364; GO:1903459; GO:1903460
TRINITY_DN11408_c0_g1_i1	149	107	0	2	sp	Q99MZ7	PECR_MOUSE	52.9	278	122	5	81	893	6	281	8.6e-76	286.2	PECR_MOUSE	reviewed	Peroxisomal trans-2-enoyl-CoA reductase (TERP) (EC 1.3.1.38)	Pecr	Mus musculus (Mouse)	303	fatty acid elongation [GO:0030497]; oxidation-reduction process [GO:0055114]; phytol metabolic process [GO:0033306]	intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]	intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; signaling receptor binding [GO:0005102]; trans-2-enoyl-CoA reductase (NADPH) activity [GO:0019166]; fatty acid elongation [GO:0030497]; oxidation-reduction process [GO:0055114]; phytol metabolic process [GO:0033306]	signaling receptor binding [GO:0005102]; trans-2-enoyl-CoA reductase (NADPH) activity [GO:0019166]	GO:0005102; GO:0005739; GO:0005777; GO:0005778; GO:0019166; GO:0030497; GO:0033306; GO:0043231; GO:0055114
TRINITY_DN104787_c0_g1_i1	9	3	1	2	sp	A1L1P7	DNLZ_DANRE	38.9	149	83	4	29	469	6	148	1.1e-14	81.6	DNLZ_DANRE	reviewed	DNL-type zinc finger protein (mtHsp70-escort protein)	dnlz zgc:158228	Danio rerio (Zebrafish) (Brachydanio rerio)	183	protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]; protein stabilization [GO:0050821]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]; protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]; protein stabilization [GO:0050821]	chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]	GO:0005739; GO:0006457; GO:0008270; GO:0030150; GO:0050821; GO:0051087
TRINITY_DN70_c0_g1_i13	977	376	13	2	sp	P06800	PTPRC_MOUSE	28.2	607	376	17	1422	3080	620	1220	2e-59	233.4	PTPRC_MOUSE	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (Lymphocyte antigen 5) (Ly-5) (T200) (CD antigen CD45)	Ptprc Ly-5	Mus musculus (Mouse)	1293	activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; immunoglobulin biosynthetic process [GO:0002378]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 biosynthetic process [GO:0045085]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of interleukin-2 biosynthetic process [GO:0045086]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immunity [GO:0002711]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; regulation of gene expression [GO:0010468]; regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002923]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]	bleb [GO:0032059]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	bleb [GO:0032059]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]; activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; immunoglobulin biosynthetic process [GO:0002378]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 biosynthetic process [GO:0045085]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of interleukin-2 biosynthetic process [GO:0045086]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immunity [GO:0002711]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; regulation of gene expression [GO:0010468]; regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002923]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]	ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]	GO:0000187; GO:0001779; GO:0001915; GO:0001916; GO:0001960; GO:0002244; GO:0002378; GO:0002711; GO:0002923; GO:0002925; GO:0004725; GO:0005102; GO:0005886; GO:0005887; GO:0005925; GO:0006469; GO:0006470; GO:0006933; GO:0007159; GO:0008201; GO:0009897; GO:0009898; GO:0009986; GO:0010332; GO:0010468; GO:0016021; GO:0016311; GO:0019901; GO:0030183; GO:0030217; GO:0030506; GO:0030507; GO:0030890; GO:0031668; GO:0031953; GO:0032059; GO:0032677; GO:0032760; GO:0034113; GO:0035584; GO:0042098; GO:0042100; GO:0042102; GO:0043395; GO:0043410; GO:0044770; GO:0044855; GO:0045059; GO:0045060; GO:0045085; GO:0045086; GO:0045121; GO:0045582; GO:0045588; GO:0046425; GO:0046641; GO:0048304; GO:0048539; GO:0048864; GO:0050731; GO:0050732; GO:0050764; GO:0050852; GO:0050853; GO:0050857; GO:0051209; GO:0051607; GO:0051726; GO:0061097; GO:0061099; GO:0070373; GO:0070374; GO:0071944; GO:0098857; GO:1903615; GO:1905451; GO:2000473; GO:2000648; GO:2001236; GO:2001238
TRINITY_DN13077_c1_g1_i25	8	4	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN28126_c0_g1_i1	57	11	0	2	sp	Q9JK81	MYG1_MOUSE	47	321	144	8	163	1056	44	361	9.3e-80	299.3	MYG1_MOUSE	reviewed	MYG1 exonuclease (EC 3.1.-.-) (Protein Gamm1)	Myg1	Mus musculus (Mouse)	380	locomotory exploration behavior [GO:0035641]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; nuclease activity [GO:0004518]; locomotory exploration behavior [GO:0035641]	nuclease activity [GO:0004518]	GO:0004518; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005739; GO:0005759; GO:0035641
TRINITY_DN246_c0_g2_i1	23	35	29	1	sp	P18101	RL40_DROME	90.6	128	12	0	40	423	1	128	3.5e-61	236.5	RL40_DROME	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128	cellular protein modification process [GO:0006464]; cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; cellular protein modification process [GO:0006464]; cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	GO:0002181; GO:0003735; GO:0005634; GO:0005737; GO:0005829; GO:0006412; GO:0006464; GO:0006511; GO:0015935; GO:0016567; GO:0019941; GO:0022625; GO:0022627; GO:0031386; GO:0031625
TRINITY_DN16395_c0_g1_i1	28	4	0	2	sp	Q5A761	CCR4_CANAL	25	376	249	11	635	1735	429	780	3.9e-20	101.3	CCR4_CANAL	reviewed	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	CCR4 CAALFM_C108220WA Ca41C10.13c CaO19.12567 CaO19.5101	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	787	cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]; cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]	GO:0000175; GO:0000289; GO:0003723; GO:0004535; GO:0005634; GO:0005737; GO:0009267; GO:0009272; GO:0009405; GO:0030014; GO:0030447; GO:0036170; GO:0036180; GO:0046872; GO:0055091
TRINITY_DN793_c0_g1_i21	0	5	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11399_c0_g2_i3	0	0	18	3	sp	Q9U5N1	VATC_MANSE	69	381	114	2	88	1221	2	381	5.2e-151	536.2	VATC_MANSE	reviewed	V-type proton ATPase subunit C (V-ATPase subunit C) (Vacuolar proton pump subunit C)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	385		proton-transporting V-type ATPase, V1 domain [GO:0033180]	proton-transporting V-type ATPase, V1 domain [GO:0033180]; proton transmembrane transporter activity [GO:0015078]	proton transmembrane transporter activity [GO:0015078]	GO:0015078; GO:0033180
TRINITY_DN14122_c0_g1_i1	5	12	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
