Trinity_ID	380822	380823	380824	380825	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Gene.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN38606_c0_g1_i12	0	0	137	63	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17994_c1_g1_i4	0	0	121	162	1	sp	Q63054	ICA69_RAT	39	525	249	10	180	1739	7	465	6.5e-77	290	ICA69_RAT	reviewed	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	Ica1	Rattus norvegicus (Rat)	480	neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transport [GO:0051049]	cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]	cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]; membrane curvature sensor activity [GO:0140090]; protein domain specific binding [GO:0019904]; neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transport [GO:0051049]	membrane curvature sensor activity [GO:0140090]; protein domain specific binding [GO:0019904]	GO:0000139; GO:0005794; GO:0005795; GO:0005829; GO:0006836; GO:0019904; GO:0030425; GO:0030667; GO:0030672; GO:0043254; GO:0048471; GO:0050796; GO:0051049; GO:0140090
TRINITY_DN1687_c0_g1_i4	87	318	1626	1291	1	sp	Q4R502	IDHP_MACFA	72.1	427	116	3	205	1479	24	449	2.3e-182	641	IDHP_MACFA	reviewed	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH2 QnpA-13564	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	452	2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; 2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0004450; GO:0005739; GO:0006097; GO:0006099; GO:0006102; GO:0006103; GO:0051287
TRINITY_DN14959_c1_g1_i22	0	0	100	98	1	sp	P51610	HCFC1_HUMAN	73.6	402	101	3	64	1257	8	408	9.9e-189	662.9	HCFC1_HUMAN	reviewed	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	Homo sapiens (Human)	2035	blastocyst hatching [GO:0001835]; cell cycle [GO:0007049]; cellular response to organic cyclic compound [GO:0071407]; chromatin remodeling [GO:0006338]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; mitochondrion organization [GO:0007005]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription, DNA-templated [GO:0045893]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transcription, DNA-templated [GO:0006355]; release from viral latency [GO:0019046]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; histone acetyltransferase complex [GO:0000123]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Set1C/COMPASS complex [GO:0048188]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; histone acetyltransferase complex [GO:0000123]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Set1C/COMPASS complex [GO:0048188]; activating transcription factor binding [GO:0033613]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; blastocyst hatching [GO:0001835]; cell cycle [GO:0007049]; cellular response to organic cyclic compound [GO:0071407]; chromatin remodeling [GO:0006338]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; mitochondrion organization [GO:0007005]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription, DNA-templated [GO:0045893]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transcription, DNA-templated [GO:0006355]; release from viral latency [GO:0019046]	activating transcription factor binding [GO:0033613]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]	GO:0000122; GO:0000123; GO:0000978; GO:0001835; GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0006338; GO:0006355; GO:0007005; GO:0007049; GO:0008134; GO:0010628; GO:0016020; GO:0016579; GO:0019046; GO:0030424; GO:0030425; GO:0030674; GO:0032991; GO:0033613; GO:0042802; GO:0043025; GO:0043254; GO:0043981; GO:0043982; GO:0043984; GO:0045296; GO:0045787; GO:0045893; GO:0048188; GO:0050821; GO:0071339; GO:0071407
TRINITY_DN22623_c0_g1_i10	24078	11504	4068	5184	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4988_c0_g1_i8	0	0	114	55	1	sp	Q96N67	DOCK7_HUMAN	51.9	2145	902	37	23	6187	4	2109	0	2013.8	DOCK7_HUMAN	reviewed	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140	activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of cold-induced thermogenesis [GO:0120163]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; neuron projection [GO:0043005]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; neuron projection [GO:0043005]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]; activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of cold-induced thermogenesis [GO:0120163]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]	GO:0000226; GO:0005085; GO:0005925; GO:0007264; GO:0007409; GO:0022027; GO:0030424; GO:0030426; GO:0031175; GO:0033138; GO:0043005; GO:0045178; GO:0045200; GO:0048365; GO:0050767; GO:0090630; GO:0120163; GO:1904754
TRINITY_DN5181_c0_g1_i5	0	0	188	87	1	sp	Q8IVV2	LOXH1_HUMAN	32.1	109	70	3	7550	7876	189	293	1.4e-09	68.9	LOXH1_HUMAN	reviewed	Lipoxygenase homology domain-containing protein 1	LOXHD1	Homo sapiens (Human)	2067	sensory perception of sound [GO:0007605]	stereocilium [GO:0032420]	stereocilium [GO:0032420]; catalase activity [GO:0004096]; heme binding [GO:0020037]; sensory perception of sound [GO:0007605]	catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0007605; GO:0020037; GO:0032420
TRINITY_DN30357_c0_g2_i2	0	0	81	81	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5929_c1_g1_i14	461	480	18	30	2	sp	Q9QX15	CA3A1_MOUSE	34.1	308	166	9	345	1205	24	315	1.4e-41	172.9	CA3A1_MOUSE	reviewed	Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-)	Clca3a1 Clca1	Mus musculus (Mouse)	902	chloride transport [GO:0006821]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; chloride transport [GO:0006821]	intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0005229; GO:0005887; GO:0006821; GO:0008237; GO:0046872
TRINITY_DN1308_c4_g1_i39	65	336	12	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5253_c0_g1_i6	0	0	141	109	1	sp	A1Z713	VPS13_DROME	31.9	3466	1979	66	137	9919	2	3292	0	1637.5	VPS13_DROME	reviewed	Vacuolar protein sorting-associated protein 13	Vps13 CG2093	Drosophila melanogaster (Fruit fly)	3321	protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]; protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]		GO:0006623; GO:0019538; GO:0019898; GO:0031902; GO:0045053
TRINITY_DN5929_c1_g1_i4	8	0	754	800	1	sp	Q9QX15	CA3A1_MOUSE	34.1	308	166	9	358	1218	24	315	1.4e-41	172.9	CA3A1_MOUSE	reviewed	Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-)	Clca3a1 Clca1	Mus musculus (Mouse)	902	chloride transport [GO:0006821]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; chloride transport [GO:0006821]	intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0005229; GO:0005887; GO:0006821; GO:0008237; GO:0046872
TRINITY_DN5253_c0_g1_i9	163	137	0	1	2	sp	A1Z713	VPS13_DROME	32	3457	1980	65	137	9892	2	3292	0	1642.5	VPS13_DROME	reviewed	Vacuolar protein sorting-associated protein 13	Vps13 CG2093	Drosophila melanogaster (Fruit fly)	3321	protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]; protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]		GO:0006623; GO:0019538; GO:0019898; GO:0031902; GO:0045053
TRINITY_DN34022_c0_g1_i2	0	2	173	144	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2906_c0_g1_i15	0	0	140	103	1	sp	P54359	SEPT2_DROME	75.9	410	97	1	59	1288	12	419	4e-153	543.1	SEPT2_DROME	reviewed	Septin-2	Sep2 CG4173	Drosophila melanogaster (Fruit fly)	419	cellularization [GO:0007349]; cellular protein localization [GO:0034613]; cytoskeleton-dependent cytokinesis [GO:0061640]; growth of a germarium-derived egg chamber [GO:0007295]; imaginal disc development [GO:0007444]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]	cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; septin complex [GO:0031105]; septin ring [GO:0005940]; spindle [GO:0005819]	cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; septin complex [GO:0031105]; septin ring [GO:0005940]; spindle [GO:0005819]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; cellular protein localization [GO:0034613]; cellularization [GO:0007349]; cytoskeleton-dependent cytokinesis [GO:0061640]; growth of a germarium-derived egg chamber [GO:0007295]; imaginal disc development [GO:0007444]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]	GO:0000281; GO:0003924; GO:0005525; GO:0005819; GO:0005940; GO:0007295; GO:0007349; GO:0007444; GO:0015630; GO:0031105; GO:0032153; GO:0034613; GO:0042803; GO:0051726; GO:0060090; GO:0061640
TRINITY_DN1566_c1_g1_i12	0	0	77	103	1	sp	Q6PE18	P4K2A_DANRE	67.8	385	114	2	335	1483	70	446	1.1e-158	562.8	P4K2A_DANRE	reviewed	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	pi4k2a pi4kii si:ch211-197k17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]	cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]	GO:0004430; GO:0005524; GO:0005739; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0043204; GO:0044231; GO:0045121; GO:0046854
TRINITY_DN15422_c0_g1_i21	96	77	1	0	2	sp	Q92879	CELF1_HUMAN	56.2	525	170	12	920	2458	10	486	8.4e-100	367.9	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486	embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]; embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]	GO:0000381; GO:0000900; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006376; GO:0006397; GO:0007281; GO:0009792; GO:0016020; GO:0016246; GO:0036002; GO:0042835; GO:0043484; GO:1990904
TRINITY_DN2145_c1_g1_i10	69	29	597	232	1	sp	Q8IN94	OSA_DROME	34.6	1822	591	31	1897	6183	890	2503	6.7e-120	434.9	OSA_DROME	reviewed	Trithorax group protein osa (Protein eyelid)	osa eld CG7467	Drosophila melanogaster (Fruit fly)	2716	ATP-dependent chromatin remodeling [GO:0043044]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; negative regulation of neuroblast proliferation [GO:0007406]; neuroblast fate commitment [GO:0014017]; photoreceptor cell differentiation [GO:0046530]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; segment specification [GO:0007379]; wing disc dorsal/ventral pattern formation [GO:0048190]; Wnt signaling pathway [GO:0016055]	brahma complex [GO:0035060]; nBAF complex [GO:0071565]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; SWI/SNF complex [GO:0016514]	brahma complex [GO:0035060]; nBAF complex [GO:0071565]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; SWI/SNF complex [GO:0016514]; DNA binding [GO:0003677]; ATP-dependent chromatin remodeling [GO:0043044]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; negative regulation of neuroblast proliferation [GO:0007406]; neuroblast fate commitment [GO:0014017]; photoreceptor cell differentiation [GO:0046530]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; segment specification [GO:0007379]; wing disc dorsal/ventral pattern formation [GO:0048190]; Wnt signaling pathway [GO:0016055]	DNA binding [GO:0003677]	GO:0003677; GO:0005634; GO:0005654; GO:0005700; GO:0006355; GO:0006357; GO:0007379; GO:0007406; GO:0007476; GO:0007480; GO:0008586; GO:0008587; GO:0014017; GO:0016055; GO:0016514; GO:0035060; GO:0043044; GO:0045893; GO:0046530; GO:0048190; GO:0071565
TRINITY_DN1838_c0_g1_i1	5043	2760	10400	9377	1	sp	Q9VEN1	FLNA_DROME	60.7	2223	839	12	157	6771	4	2209	0	2819.6	FLNA_DROME	reviewed	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)	cher cheerio sko CG3937	Drosophila melanogaster (Fruit fly)	2210	behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sarcomere organization [GO:0045214]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; Z disc [GO:0030018]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin binding [GO:0003779]; behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sarcomere organization [GO:0045214]	actin binding [GO:0003779]	GO:0000278; GO:0003779; GO:0005829; GO:0005886; GO:0007301; GO:0007303; GO:0007616; GO:0008045; GO:0008104; GO:0008302; GO:0008340; GO:0015629; GO:0030018; GO:0030708; GO:0030725; GO:0035182; GO:0035183; GO:0035204; GO:0035324; GO:0045179; GO:0045214; GO:0048149; GO:0051495
TRINITY_DN4763_c0_g1_i3	3972	3357	2774	769	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4742_c0_g1_i7	0	0	98	121	1	sp	Q9VLQ1	ALG5_DROME	56	318	136	1	247	1200	11	324	1.1e-99	366.7	ALG5_DROME	reviewed	Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117) (Wollknaeuel)	wol alg5 CG7870	Drosophila melanogaster (Fruit fly)	326	chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]	GO:0004581; GO:0005783; GO:0005789; GO:0006487; GO:0006493; GO:0007009; GO:0007029; GO:0007379; GO:0007509; GO:0009953; GO:0010004; GO:0016021; GO:0019991; GO:0040003
TRINITY_DN12078_c3_g1_i7	99	38	0	0	2	sp	Q1RLK6	B3GN4_MOUSE	28.9	256	174	3	447	1193	90	344	8e-27	125.2	B3GN4_MOUSE	reviewed	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4) (EC 2.4.1.-)	B3gnt4	Mus musculus (Mouse)	350	poly-N-acetyllactosamine biosynthetic process [GO:0030311]; protein glycosylation [GO:0006486]; protein O-linked glycosylation [GO:0006493]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; acetylgalactosaminyltransferase activity [GO:0008376]; acetylglucosaminyltransferase activity [GO:0008375]; beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity [GO:0008457]; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]; transferase activity, transferring hexosyl groups [GO:0016758]; poly-N-acetyllactosamine biosynthetic process [GO:0030311]; protein glycosylation [GO:0006486]; protein O-linked glycosylation [GO:0006493]	acetylgalactosaminyltransferase activity [GO:0008376]; acetylglucosaminyltransferase activity [GO:0008375]; beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity [GO:0008457]; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]; transferase activity, transferring hexosyl groups [GO:0016758]	GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0006493; GO:0008375; GO:0008376; GO:0008457; GO:0008532; GO:0016021; GO:0016758; GO:0030311
