Trinity_ID	178	359	463	cluster	V2.x	uniprot_acc_ID	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V2.y	V3	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
TRINITY_DN276_c0_g1_i3	53	34	0	2	sp	Q8CGY8	OGT1_MOUSE	78.3	1021	208	4	270	3311	23	1036	0	1630.9	OGT1_MOUSE	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Ogt	Mus musculus (Mouse)	1046	apoptotic process [GO:0006915]; circadian regulation of gene expression [GO:0032922]; histone H3-K4 trimethylation [GO:0080182]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; negative regulation of protein ubiquitination [GO:0031397]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of histone H3-K27 methylation [GO:0061087]; positive regulation of proteolysis [GO:0045862]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein O-linked glycosylation [GO:0006493]; regulation of gluconeogenesis involved in cellular glucose homeostasis [GO:0090526]; regulation of glycolytic process [GO:0006110]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of Rac protein signal transduction [GO:0035020]; response to insulin [GO:0032868]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; intracellular [GO:0005622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	catalytic activity [GO:0003824]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone acetyltransferase activity (H4-K5 specific) [GO:0043995]; histone acetyltransferase activity (H4-K8 specific) [GO:0043996]; N-acetyltransferase activity [GO:0008080]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein N-acetylglucosaminyltransferase activity [GO:0016262]; protein O-GlcNAc transferase activity [GO:0097363]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; intracellular [GO:0005622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; catalytic activity [GO:0003824]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone acetyltransferase activity (H4-K5 specific) [GO:0043995]; histone acetyltransferase activity (H4-K8 specific) [GO:0043996]; N-acetyltransferase activity [GO:0008080]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein N-acetylglucosaminyltransferase activity [GO:0016262]; protein O-GlcNAc transferase activity [GO:0097363]; apoptotic process [GO:0006915]; circadian regulation of gene expression [GO:0032922]; histone H3-K4 trimethylation [GO:0080182]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; negative regulation of protein ubiquitination [GO:0031397]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of histone H3-K27 methylation [GO:0061087]; positive regulation of proteolysis [GO:0045862]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein O-linked glycosylation [GO:0006493]; regulation of gluconeogenesis involved in cellular glucose homeostasis [GO:0090526]; regulation of glycolytic process [GO:0006110]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of Rac protein signal transduction [GO:0035020]; response to insulin [GO:0032868]	GO:0000123; GO:0003824; GO:0005547; GO:0005622; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006110; GO:0006493; GO:0006915; GO:0008080; GO:0016262; GO:0031397; GO:0032868; GO:0032922; GO:0035020; GO:0043981; GO:0043982; GO:0043984; GO:0043995; GO:0043996; GO:0045862; GO:0045944; GO:0046626; GO:0046972; GO:0048015; GO:0061087; GO:0080182; GO:0090526; GO:0097363
TRINITY_DN1536_c0_g1_i1	23	21	0	2	sp	Q3SYV4	CAP1_BOVIN	49.2	476	222	8	95	1489	3	469	2.6e-107	391.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN23_c2_g1_i9	320	458	0	1	sp	Q8BZ20	PAR12_MOUSE	25	585	331	18	18	1688	184	688	7e-38	160.6	PAR12_MOUSE	reviewed	Poly [ADP-ribose] polymerase 12 (PARP-12) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Zinc finger CCCH domain-containing protein 1)	Parp12 Zc3hdc1	Mus musculus (Mouse)	711		nucleus [GO:0005634]	metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950; GO:0005634; GO:0046872
TRINITY_DN3766_c0_g1_i18	0	175	5	1	sp	Q9XYC2	RL15_FAXLI	95.2	146	7	0	339	776	59	204	9e-76	285	RL15_ORCLI	reviewed	60S ribosomal protein L15	RPL15	Orconectes limosus (Spinycheek crayfish) (Faxonius limosus)	204	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
TRINITY_DN3766_c0_g1_i18	0	175	5	1	sp	Q9XYC2	RL15_FAXLI	96.6	58	2	0	76	249	1	58	5.5e-25	116.3	RL15_ORCLI	reviewed	60S ribosomal protein L15	RPL15	Orconectes limosus (Spinycheek crayfish) (Faxonius limosus)	204	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
TRINITY_DN3766_c0_g1_i18	0	175	5	1	sp	Q9XYC2	RL15_FAXLI	92	25	2	0	263	337	1	25	1.7e-05	51.6	RL15_ORCLI	reviewed	60S ribosomal protein L15	RPL15	Orconectes limosus (Spinycheek crayfish) (Faxonius limosus)	204	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
TRINITY_DN63_c0_g1_i16	25	22	0	2	sp	P08630	BTKL_DROME	60	447	172	6	1464	2798	333	774	2.3e-151	538.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3668_c0_g1_i7	0	0	17	3	sp	Q5T4S7	UBR4_HUMAN	51.9	3158	1319	38	621	9890	2157	5183	0	2784.2	UBR4_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183	neutrophil degranulation [GO:0043312]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; viral process [GO:0016032]	centrosome [GO:0005813]; cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]	calmodulin binding [GO:0005516]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	centrosome [GO:0005813]; cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; calmodulin binding [GO:0005516]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; neutrophil degranulation [GO:0043312]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; viral process [GO:0016032]	GO:0004842; GO:0005516; GO:0005654; GO:0005813; GO:0005829; GO:0005886; GO:0008270; GO:0016020; GO:0016021; GO:0016032; GO:0035579; GO:0042787; GO:0043312; GO:0070821; GO:0101003
TRINITY_DN868_c1_g2_i5	37	17	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4867_c0_g2_i6	132	283	138	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN32526_c0_g1_i15	1263	6843	0	1	sp	P51023	PNT_DROME	81.7	115	15	1	1683	2027	590	698	3.5e-49	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8902_c0_g1_i3	0	0	1	3	sp	Q3T0X5	PSA1_BOVIN	67.8	242	78	0	166	891	1	242	2e-91	337.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3136_c0_g2_i2	65	2355	23	1	sp	P86733	KCP_HALAI	38.2	136	57	2	1766	2173	13	121	2e-21	106.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7420_c1_g1_i5	0	17	0	1	sp	Q9UPN3	MACF1_HUMAN	28.8	1921	1181	41	518	5956	74	1915	2.1e-207	725.7	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388	Golgi to plasma membrane protein transport [GO:0043001]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]; Golgi to plasma membrane protein transport [GO:0043001]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	GO:0003723; GO:0003779; GO:0005509; GO:0005737; GO:0005794; GO:0005856; GO:0005874; GO:0005886; GO:0008017; GO:0010632; GO:0016055; GO:0016887; GO:0030177; GO:0032587; GO:0032886; GO:0042060; GO:0043001; GO:0045296; GO:0045773; GO:0051015; GO:0051893
TRINITY_DN4988_c0_g1_i8	0	0	42	3	sp	Q96N67	DOCK7_HUMAN	51.9	2145	902	37	23	6187	4	2109	0	2013.8	DOCK7_HUMAN	reviewed	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140	activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; intracellular [GO:0005622]; neuron projection [GO:0043005]	guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; intracellular [GO:0005622]; neuron projection [GO:0043005]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]; activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	GO:0000226; GO:0005085; GO:0005622; GO:0005925; GO:0007264; GO:0007409; GO:0022027; GO:0030424; GO:0030426; GO:0031175; GO:0033138; GO:0043005; GO:0045178; GO:0045200; GO:0048365; GO:0050767; GO:0090630; GO:1904754
TRINITY_DN4655_c0_g1_i16	9	40	17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1308_c4_g1_i35	90	700	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13131_c0_g1_i3	0	27	0	1	sp	Q9ULT8	HECD1_HUMAN	47.4	2135	793	34	144	6086	652	2610	0	1718.7	HECD1_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1)	HECTD1 KIAA1131	Homo sapiens (Human)	2610		cytoplasm [GO:0005737]	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	GO:0005737; GO:0046872; GO:0061630
TRINITY_DN1566_c1_g1_i12	0	8	0	1	sp	Q6PE18	P4K2A_DANRE	67.8	385	114	2	335	1483	70	446	1.1e-158	562.8	P4K2A_DANRE	reviewed	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	pi4k2a pi4kii si:ch211-197k17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]	cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	GO:0004430; GO:0005524; GO:0005739; GO:0005765; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030054; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0044231; GO:0045121; GO:0046854
TRINITY_DN1687_c0_g1_i4	2173	2125	2	2	sp	Q4R502	IDHP_MACFA	72.1	427	116	3	205	1479	24	449	2.3e-182	641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9214_c0_g1_i10	127	123	1	2	sp	Q5VT52	RPRD2_HUMAN	34.8	293	167	6	357	1169	21	311	5.2e-36	155.2	RPRD2_HUMAN	reviewed	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2 KIAA0460 HSPC099	Homo sapiens (Human)	1461	snRNA transcription from RNA polymerase II promoter [GO:0042795]	DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; nucleoplasm [GO:0005654]		DNA-directed RNA polymerase II, holoenzyme [GO:0016591]; nucleoplasm [GO:0005654]; snRNA transcription from RNA polymerase II promoter [GO:0042795]	GO:0005654; GO:0016591; GO:0042795
TRINITY_DN39893_c0_g1_i2	23	320	1	1	sp	O42161	ACTB_SALSA	90.7	108	10	0	1	324	268	375	1e-52	207.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4742_c0_g1_i7	50	4	1	4	sp	Q9VLQ1	ALG5_DROME	56	318	136	1	247	1200	11	324	1.1e-99	366.7	ALG5_DROME	reviewed	Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117) (Wollknaeuel)	wol alg5 CG7870	Drosophila melanogaster (Fruit fly)	326	chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; embryonic pattern specification [GO:0009880]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; Golgi organization [GO:0007030]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; transferase activity [GO:0016740]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; transferase activity [GO:0016740]; chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; embryonic pattern specification [GO:0009880]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; Golgi organization [GO:0007030]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	GO:0004581; GO:0005783; GO:0005789; GO:0006487; GO:0006493; GO:0007009; GO:0007029; GO:0007030; GO:0007379; GO:0007509; GO:0009880; GO:0009953; GO:0010004; GO:0016021; GO:0016740; GO:0019991; GO:0040003
TRINITY_DN11178_c0_g1_i1	29	1	0	4	sp	A9X4T1	CHD1_BOMMO	60	1308	446	18	1321	5148	2	1264	0	1322.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5253_c0_g1_i6	0	3	0	1	sp	A1Z713	VPS13_DROME	31.9	3466	1979	66	137	9919	2	3292	0	1637.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1968_c0_g1_i3	300	1461	0	1	sp	Q16822	PCKGM_HUMAN	68.5	616	191	2	517	2364	28	640	2.1e-264	913.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN30357_c0_g2_i2	272	191	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1804_c1_g1_i20	2355	1293	1	2	sp	Q9YHV4	FSTA_DANRE	43.1	51	26	2	172	324	122	169	9.9e-05	48.9	FSTA_DANRE	reviewed	Follistatin-A (FS) (Activin-binding protein) (Follistatin-1) (zFst1)	fsta fst fst1 si:dkey-111k10.2 si:dkeyp-88a5.1	Danio rerio (Zebrafish) (Brachydanio rerio)	322	determination of dorsal identity [GO:0048263]; dorsal/ventral pattern formation [GO:0009953]; embryonic viscerocranium morphogenesis [GO:0048703]; midbrain development [GO:0030901]; oocyte differentiation [GO:0009994]; otic placode formation [GO:0043049]	extracellular region [GO:0005576]		extracellular region [GO:0005576]; determination of dorsal identity [GO:0048263]; dorsal/ventral pattern formation [GO:0009953]; embryonic viscerocranium morphogenesis [GO:0048703]; midbrain development [GO:0030901]; oocyte differentiation [GO:0009994]; otic placode formation [GO:0043049]	GO:0005576; GO:0009953; GO:0009994; GO:0030901; GO:0043049; GO:0048263; GO:0048703
TRINITY_DN4655_c0_g1_i15	45385	24387	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12397_c1_g1_i1	0	3	0	1	sp	O75914	PAK3_HUMAN	79.1	321	66	1	10	969	236	556	1.5e-144	516.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10220_c0_g1_i3	914	698	0	2	sp	Q15637	SF01_HUMAN	65.8	319	98	4	418	1368	15	324	5.3e-117	424.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8852_c2_g2_i1	440	378	29	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1255_c0_g1_i3	0	177	0	1	sp	Q6GVM6	DDX3Y_PANTR	71	483	108	4	652	2088	124	578	8.8e-192	672.9	DDX3Y_PANTR	reviewed	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)	DDX3Y	Pan troglodytes (Chimpanzee)	660	chromosome segregation [GO:0007059]; regulation of gene expression [GO:0010468]; RNA secondary structure unwinding [GO:0010501]; translational initiation [GO:0006413]	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; DNA binding [GO:0003677]; RNA binding [GO:0003723]	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; chromosome segregation [GO:0007059]; regulation of gene expression [GO:0010468]; RNA secondary structure unwinding [GO:0010501]; translational initiation [GO:0006413]	GO:0003677; GO:0003723; GO:0004004; GO:0005524; GO:0005730; GO:0005829; GO:0006413; GO:0007059; GO:0010468; GO:0010501; GO:0016020; GO:0036464
TRINITY_DN4702_c0_g1_i2	0	0	2	3	sp	P09917	LOX5_HUMAN	26.7	688	466	14	231	2222	1	674	9.3e-70	267.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2167_c1_g1_i8	294	301	1257	3	sp	Q96PM5	ZN363_HUMAN	47.3	55	29	0	2093	1929	29	83	9.2e-11	70.5	ZN363_HUMAN	reviewed	RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING finger protein 199) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363) (p53-induced RING-H2 protein) (hPirh2)	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363	Homo sapiens (Human)	261	error-free translesion synthesis [GO:0070987]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; receptor binding [GO:0005102]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; receptor binding [GO:0005102]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; error-free translesion synthesis [GO:0070987]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]	GO:0000151; GO:0002039; GO:0004842; GO:0005102; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0008270; GO:0016567; GO:0016607; GO:0031398; GO:0032436; GO:0042787; GO:0042803; GO:0051865; GO:0070987
