Trinity_ID	178	359	463	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN11222_c0_g1_i1	12	1	0	3	sp	Q9C9C6	RL62_ARATH	53.3	150	65	2	144	578	84	233	9.1e-35	148.7	RL62_ARATH	reviewed	60S ribosomal protein L6-2	RPL6B At1g74060 F2P9.7	Arabidopsis thaliana (Mouse-ear cress)	233	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005730; GO:0005739; GO:0022625; GO:0022626
TRINITY_DN493_c0_g1_i14	6	5	0	1	sp	P35684	RL3_ORYSJ	68.2	380	117	3	2	1132	10	388	4.3e-151	535.8	RL3_ORYSJ	reviewed	60S ribosomal protein L3	RPL3 Os12g0167900 LOC_Os12g07010	Oryza sativa subsp. japonica (Rice)	389	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003723; GO:0003735; GO:0006412; GO:0022625
TRINITY_DN13413_c0_g1_i8	0	32	0	2	sp	Q2F637	1433Z_BOMMO	94.2	137	8	0	140	550	4	140	3.7e-63	245.4	1433Z_BOMMO	reviewed	14-3-3 protein zeta	14-3-3zeta	Bombyx mori (Silk moth)	247		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]		GO:0005737
TRINITY_DN1470_c0_g1_i10	549	211	0	3	sp	O97172	U729_DROME	39.8	83	40	2	237	479	1	75	9.8e-10	68.6	U729_DROME	reviewed	UPF0729 protein CG18508	CG18508	Drosophila melanogaster (Fruit fly)	99					
TRINITY_DN5443_c0_g1_i29	0	19	0	2	sp	Q502K3	ANR52_DANRE	28.6	217	140	3	664	1305	147	351	1.7e-15	86.3	ANR52_DANRE	reviewed	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C (PP6-ARS-C) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-C)	ankrd52 zgc:112069	Danio rerio (Zebrafish) (Brachydanio rerio)	1071					
TRINITY_DN1919_c0_g1_i21	0	4	0	2	sp	P27484	GRP2_NICSY	45.6	68	34	2	184	381	8	74	1.3e-07	58.5	GRP2_NICSY	reviewed	Glycine-rich protein 2	GRP-2	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	214			RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0003723; GO:0008270
TRINITY_DN670_c0_g1_i5	17	20	0	1	sp	P0CT58	RS22A_SCHPO	81.8	33	6	0	48	146	1	33	1.2e-07	58.2	RS22A_SCHPO	reviewed	40S ribosomal protein S22-A	rps2201 rps22a SPAC22A12.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	130	cytoplasmic translation [GO:0002181]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0022627
TRINITY_DN286_c0_g2_i1	3	11	0	2	sp	Q9HGL8	RL43A_SCHPO	59.6	94	37	1	41	322	1	93	1.8e-26	120.2	RL43A_SCHPO	reviewed	60S ribosomal protein L43-A (L37A)	rpl4301 rpl43a SPBC800.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	94	cytoplasmic translation [GO:0002181]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005829; GO:0022625; GO:0046872
TRINITY_DN3377_c0_g1_i6	0	0	151	4	sp	P53634	CATC_HUMAN	50	456	218	4	2481	3821	7	461	1.5e-136	489.6	CATC_HUMAN	reviewed	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	Homo sapiens (Human)	463	aging [GO:0007568]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; immune response [GO:0006955]; negative regulation of myelination [GO:0031642]; neutrophil degranulation [GO:0043312]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of proteolysis involved in cellular protein catabolic process [GO:1903052]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to organic substance [GO:0010033]; T cell mediated cytotoxicity [GO:0001913]	azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; collagen-containing extracellular matrix [GO:0062023]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; collagen-containing extracellular matrix [GO:0062023]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; chaperone binding [GO:0051087]; chloride ion binding [GO:0031404]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; identical protein binding [GO:0042802]; peptidase activator activity involved in apoptotic process [GO:0016505]; phosphatase binding [GO:0019902]; protein self-association [GO:0043621]; serine-type endopeptidase activity [GO:0004252]; aging [GO:0007568]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; immune response [GO:0006955]; negative regulation of myelination [GO:0031642]; neutrophil degranulation [GO:0043312]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of proteolysis involved in cellular protein catabolic process [GO:1903052]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to organic substance [GO:0010033]; T cell mediated cytotoxicity [GO:0001913]	chaperone binding [GO:0051087]; chloride ion binding [GO:0031404]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; identical protein binding [GO:0042802]; peptidase activator activity involved in apoptotic process [GO:0016505]; phosphatase binding [GO:0019902]; protein self-association [GO:0043621]; serine-type endopeptidase activity [GO:0004252]	GO:0000139; GO:0001913; GO:0004197; GO:0004252; GO:0005576; GO:0005615; GO:0005654; GO:0005764; GO:0005788; GO:0005813; GO:0006508; GO:0006888; GO:0006955; GO:0007568; GO:0008234; GO:0010033; GO:0016020; GO:0016505; GO:0019902; GO:0030134; GO:0031404; GO:0031642; GO:0033116; GO:0035578; GO:0042802; GO:0043231; GO:0043312; GO:0043621; GO:0048208; GO:0051087; GO:0051603; GO:0062023; GO:0070062; GO:1903052; GO:1903980; GO:2001235
TRINITY_DN862_c0_g1_i6	0	12	0	2	sp	A7EJY3	DED1_SCLS1	51.6	417	187	4	131	1345	166	579	4.3e-109	397.1	DED1_SCLS1	reviewed	ATP-dependent RNA helicase ded1 (EC 3.6.4.13)	ded1 SS1G_05629	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	678		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	GO:0003723; GO:0003724; GO:0003743; GO:0005524; GO:0005634; GO:0005737
TRINITY_DN493_c0_g1_i10	15	3	0	3	sp	P35684	RL3_ORYSJ	68.4	380	116	3	2	1132	10	388	8e-152	538.1	RL3_ORYSJ	reviewed	60S ribosomal protein L3	RPL3 Os12g0167900 LOC_Os12g07010	Oryza sativa subsp. japonica (Rice)	389	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003723; GO:0003735; GO:0006412; GO:0022625
TRINITY_DN70_c0_g1_i13	977	376	13	3	sp	P06800	PTPRC_MOUSE	28.2	607	376	17	1422	3080	620	1220	2e-59	233.4	PTPRC_MOUSE	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (Lymphocyte antigen 5) (Ly-5) (T200) (CD antigen CD45)	Ptprc Ly-5	Mus musculus (Mouse)	1293	activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; immunoglobulin biosynthetic process [GO:0002378]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 biosynthetic process [GO:0045085]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of interleukin-2 biosynthetic process [GO:0045086]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immunity [GO:0002711]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; regulation of gene expression [GO:0010468]; regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002923]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]	bleb [GO:0032059]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	bleb [GO:0032059]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]; activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; immunoglobulin biosynthetic process [GO:0002378]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 biosynthetic process [GO:0045085]; negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of interleukin-2 biosynthetic process [GO:0045086]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immunity [GO:0002711]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; regulation of gene expression [GO:0010468]; regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002923]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]	ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]	GO:0000187; GO:0001779; GO:0001915; GO:0001916; GO:0001960; GO:0002244; GO:0002378; GO:0002711; GO:0002923; GO:0002925; GO:0004725; GO:0005102; GO:0005886; GO:0005887; GO:0005925; GO:0006469; GO:0006470; GO:0006933; GO:0007159; GO:0008201; GO:0009897; GO:0009898; GO:0009986; GO:0010332; GO:0010468; GO:0016021; GO:0016311; GO:0019901; GO:0030183; GO:0030217; GO:0030506; GO:0030507; GO:0030890; GO:0031668; GO:0031953; GO:0032059; GO:0032677; GO:0032760; GO:0034113; GO:0035584; GO:0042098; GO:0042100; GO:0042102; GO:0043395; GO:0043410; GO:0044770; GO:0044855; GO:0045059; GO:0045060; GO:0045085; GO:0045086; GO:0045121; GO:0045582; GO:0045588; GO:0046425; GO:0046641; GO:0048304; GO:0048539; GO:0048864; GO:0050731; GO:0050732; GO:0050764; GO:0050852; GO:0050853; GO:0050857; GO:0051209; GO:0051607; GO:0051726; GO:0061097; GO:0061099; GO:0070373; GO:0070374; GO:0071944; GO:0098857; GO:1903615; GO:1905451; GO:2000473; GO:2000648; GO:2001236; GO:2001238
TRINITY_DN76264_c0_g1_i1	2039	3164	0	1	sp	P29522	EF1B2_BOMMO	71.6	109	31	0	129	455	114	222	3.1e-38	159.5	EF1B2_BOMMO	reviewed	Elongation factor 1-beta'		Bombyx mori (Silk moth)	222		eukaryotic translation elongation factor 1 complex [GO:0005853]	eukaryotic translation elongation factor 1 complex [GO:0005853]; translation elongation factor activity [GO:0003746]	translation elongation factor activity [GO:0003746]	GO:0003746; GO:0005853
TRINITY_DN28126_c0_g1_i1	57	11	0	3	sp	Q9JK81	MYG1_MOUSE	47	321	144	8	163	1056	44	361	9.3e-80	299.3	MYG1_MOUSE	reviewed	MYG1 exonuclease (EC 3.1.-.-) (Protein Gamm1)	Myg1	Mus musculus (Mouse)	380	locomotory exploration behavior [GO:0035641]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; nuclease activity [GO:0004518]; locomotory exploration behavior [GO:0035641]	nuclease activity [GO:0004518]	GO:0004518; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005739; GO:0005759; GO:0035641
TRINITY_DN246_c0_g2_i1	23	35	29	2	sp	P18101	RL40_DROME	90.6	128	12	0	40	423	1	128	3.5e-61	236.5	RL40_DROME	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128	cellular protein modification process [GO:0006464]; cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; cellular protein modification process [GO:0006464]; cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	GO:0002181; GO:0003735; GO:0005634; GO:0005737; GO:0005829; GO:0006412; GO:0006464; GO:0006511; GO:0015935; GO:0016567; GO:0019941; GO:0022625; GO:0022627; GO:0031386; GO:0031625
TRINITY_DN16395_c0_g1_i1	28	4	0	3	sp	Q5A761	CCR4_CANAL	25	376	249	11	635	1735	429	780	3.9e-20	101.3	CCR4_CANAL	reviewed	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	CCR4 CAALFM_C108220WA Ca41C10.13c CaO19.12567 CaO19.5101	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	787	cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]; cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]	GO:0000175; GO:0000289; GO:0003723; GO:0004535; GO:0005634; GO:0005737; GO:0009267; GO:0009272; GO:0009405; GO:0030014; GO:0030447; GO:0036170; GO:0036180; GO:0046872; GO:0055091
TRINITY_DN793_c0_g1_i21	0	5	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3059_c10_g1_i2	24831	12919	19	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12521_c0_g1_i1	0	1	0	2	sp	Q9FNU2	AB25B_ORYSJ	38.3	627	359	8	429	2297	25	627	4.6e-104	380.6	AB25B_ORYSJ	reviewed	ABC transporter B family member 25 (ABC transporter ABCB.25) (OsABCB25) (Protein ALS1 homolog) (Protein ALUMINUM SENSITIVE 1) (OsALS1)	ABCB25 ALS1 Os03g0755100 LOC_Os03g54790 OSJNBb0081K01.19	Oryza sativa subsp. japonica (Rice)	641	aluminum ion transmembrane transport [GO:1902602]; cellular aluminum ion homeostasis [GO:0010217]; response to aluminum ion [GO:0010044]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]	integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]; aluminum ion transmembrane transporter activity [GO:0015083]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; aluminum ion transmembrane transport [GO:1902602]; cellular aluminum ion homeostasis [GO:0010217]; response to aluminum ion [GO:0010044]; transmembrane transport [GO:0055085]	aluminum ion transmembrane transporter activity [GO:0015083]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0009705; GO:0010044; GO:0010217; GO:0015083; GO:0016021; GO:0016887; GO:0042626; GO:0055085; GO:1902602
TRINITY_DN19460_c0_g1_i1	6	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
