yourlist:M20200825A94466D2655679D1FD8953E075198DA8554439Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P70700	P70700	RPA2_MOUSE	reviewed	DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135)	Polr1b Rpa2 Rpo1-2	Mus musculus (Mouse)	1135
B0X9H6	B0X9H6	KEN1_CULQU	reviewed	Transcription factor Ken 1	ken1 CPIJ016082	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	653
P32826	P32826	SCP49_ARATH	reviewed	Serine carboxypeptidase-like 49 (EC 3.4.16.-)	SCPL49 At3g10410 F13M14.32	Arabidopsis thaliana (Mouse-ear cress)	516
Q17QE5	Q17QE5	CIB1_BOVIN	reviewed	Calcium and integrin-binding protein 1 (Calmyrin)	CIB1	Bos taurus (Bovine)	191
Q9VKM6	Q9VKM6	VPS72_DROME	reviewed	Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1)	YL-1 CG4621	Drosophila melanogaster (Fruit fly)	351
Q3B8G7	Q3B8G7	IR3IP_XENLA	reviewed	Immediate early response 3-interacting protein 1	ier3ip1	Xenopus laevis (African clawed frog)	82
Q5RH71	Q5RH71	TSN33_DANRE	reviewed	Tetraspanin-33 (Tspan-33)	tspan33 zgc:92266	Danio rerio (Zebrafish) (Brachydanio rerio)	281
Q8N587	Q8N587	ZN561_HUMAN	reviewed	Zinc finger protein 561	ZNF561	Homo sapiens (Human)	486
P18740	P18740	ZO14_XENLA	reviewed	Oocyte zinc finger protein XlCOF14 (Fragment)		Xenopus laevis (African clawed frog)	139
Q9Y2P7	Q9Y2P7	ZN256_HUMAN	reviewed	Zinc finger protein 256 (Bone marrow zinc finger 3) (BMZF-3)	ZNF256 BMZF3	Homo sapiens (Human)	627
A4IG62	A4IG62	SUV3_DANRE	reviewed	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	supv3l1	Danio rerio (Zebrafish) (Brachydanio rerio)	763
Q9VN03	Q9VN03	SUV3_DROME	reviewed	ATP-dependent RNA helicase SUV3 homolog, mitochondrial (EC 3.6.4.13)	Suv3 CG9791	Drosophila melanogaster (Fruit fly)	763
P37287	P37287	PIGA_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A (EC 2.4.1.198) (GlcNAc-PI synthesis protein) (Phosphatidylinositol-glycan biosynthesis class A protein) (PIG-A)	PIGA	Homo sapiens (Human)	484
Q295E6	Q295E6	SUV3_DROPS	reviewed	ATP-dependent RNA helicase SUV3 homolog, mitochondrial (EC 3.6.4.13)	GA22038	Drosophila pseudoobscura pseudoobscura (Fruit fly)	762
A6NDL7	A6NDL7	MT21E_HUMAN	reviewed	Putative methyltransferase-like protein 21E pseudogene (EC 2.1.1.-)	METTL21EP METTL21CP1	Homo sapiens (Human)	271
P67868	P67868	CSK2B_BOVIN	reviewed	Casein kinase II subunit beta (CK II beta) (Phosvitin)	CSNK2B CK2N	Bos taurus (Bovine)	215
P16100	P16100	IDH_AZOVI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	icd	Azotobacter vinelandii	741
Q96NL3	Q96NL3	ZN599_HUMAN	reviewed	Zinc finger protein 599	ZNF599	Homo sapiens (Human)	588
B0UYL8	B0UYL8	SERP3_DANRE	reviewed	Probable serpin E3	serpine3 im:7152538 si:ch211-219a4.10	Danio rerio (Zebrafish) (Brachydanio rerio)	417
P36963	P36963	DMA_SQUAC	reviewed	Proteolipid protein DM alpha		Squalus acanthias (Spiny dogfish)	245
Q9VVI3	Q9VVI3	NEDD4_DROME	reviewed	E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)	Nedd4 CG7555	Drosophila melanogaster (Fruit fly)	1007
Q6Q477	Q6Q477	AT2B4_MOUSE	reviewed	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10)	Atp2b4	Mus musculus (Mouse)	1205
Q5KYR4	Q5KYR4	IOLA2_GEOKA	reviewed	Malonate-semialdehyde dehydrogenase 2 (MSA dehydrogenase 2) (EC 1.2.1.-) (Methylmalonate-semialdehyde dehydrogenase 2) (MMSA dehydrogenase 2) (MSDH 2) (EC 1.2.1.27)	iolA2 GK1887	Geobacillus kaustophilus (strain HTA426)	484
A1T726	A1T726	Y2161_MYCVP	reviewed	Uncharacterized oxidoreductase Mvan_2161 (EC 1.-.-.-)	Mvan_2161	Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii)	279
Q54ST6	Q54ST6	Y5281_DICDI	reviewed	ER membrane protein complex subunit 7 homolog	DDB_G0282229	Dictyostelium discoideum (Slime mold)	216
Q5HZL1	Q5HZL1	ERI2_XENLA	reviewed	ERI1 exoribonuclease 2 (EC 3.1.-.-) (Exonuclease domain-containing protein 1)	eri2 exod1	Xenopus laevis (African clawed frog)	687
P49847	P49847	TAF6_DROME	reviewed	Transcription initiation factor TFIID subunit 6 (TAFII-60) (TAFII-62) (Transcription initiation factor TFIID 62 kDa subunit) (p62)	Taf6 Taf60 CG32211	Drosophila melanogaster (Fruit fly)	606
Q8TDY2	Q8TDY2	RBCC1_HUMAN	reviewed	RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200)	RB1CC1 KIAA0203 RBICC	Homo sapiens (Human)	1594
O97159	O97159	CHDM_DROME	reviewed	Chromodomain-helicase-DNA-binding protein Mi-2 homolog (EC 3.6.4.12) (ATP-dependent helicase Mi-2) (dMi-2)	Mi-2 CG8103	Drosophila melanogaster (Fruit fly)	1982
Q96CX3	Q96CX3	ZN501_HUMAN	reviewed	Zinc finger protein 501 (Zinc finger protein 52)	ZNF501 ZNF52	Homo sapiens (Human)	271
P42704	P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
Q28C74	Q28C74	LPPRC_XENTR	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial	lrpprc TTpA007l07.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	1391
Q9NPG3	Q9NPG3	UBN1_HUMAN	reviewed	Ubinuclein-1 (HIRA-binding protein) (Protein VT4) (Ubiquitously expressed nuclear protein)	UBN1	Homo sapiens (Human)	1134
P49595	P49595	PPM1G_CAEEL	reviewed	Protein phosphatase ppm-1.G (EC 3.1.3.16) (Protein phosphatase 2C isoform gamma homolog) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma homolog)	ppm-1.G F42G9.1	Caenorhabditis elegans	491
Q9UHA4	Q9UHA4	LTOR3_HUMAN	reviewed	Ragulator complex protein LAMTOR3 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 3) (MEK-binding partner 1) (Mp1) (Mitogen-activated protein kinase kinase 1-interacting protein 1) (Mitogen-activated protein kinase scaffold protein 1)	LAMTOR3 MAP2K1IP1 MAPKSP1 PRO2783	Homo sapiens (Human)	124
P31007	P31007	DLG1_DROME	reviewed	Disks large 1 tumor suppressor protein	dlg1 l(1)dlg1 CG1725	Drosophila melanogaster (Fruit fly)	970
Q9VJE5	Q9VJE5	CL190_DROME	reviewed	Restin homolog (Cytoplasmic linker protein 190) (Microtubule-binding protein 190) (d-CLIP-190)	CLIP-190 CG5020	Drosophila melanogaster (Fruit fly)	1690
P30622	P30622	CLIP1_HUMAN	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
Q9Z0H8	Q9Z0H8	CLIP2_MOUSE	reviewed	CAP-Gly domain-containing linker protein 2 (Cytoplasmic linker protein 115) (CLIP-115) (Cytoplasmic linker protein 2)	Clip2 Cyln2 Kiaa0291	Mus musculus (Mouse)	1047
Q9JK25	Q9JK25	CLIP1_RAT	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin)	Clip1 Cyln1 Rsn	Rattus norvegicus (Rat)	1320
O42184	O42184	CLIP1_CHICK	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 170) (CLIP-170) (Restin)	CLIP1 RSN	Gallus gallus (Chicken)	1433
Q96JB1	Q96JB1	DYH8_HUMAN	reviewed	Dynein heavy chain 8, axonemal (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	DNAH8	Homo sapiens (Human)	4490
Q50KB1	Q50KB1	SEP2_EMIHU	reviewed	Protein disulfide-isomerase-like protein EhSep2	SEP2	Emiliania huxleyi (Pontosphaera huxleyi)	223
Q49UX2	Q49UX2	ILVD2_STAS1	reviewed	Dihydroxy-acid dehydratase 2 (DAD 2) (EC 4.2.1.9)	ilvD2 SSP2293	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	564
Q2JTX6	Q2JTX6	ILVD_SYNJA	reviewed	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD CYA_1697	Synechococcus sp. (strain JA-3-3Ab) (Cyanobacteria bacterium Yellowstone A-Prime)	565
Q9CXR1	Q9CXR1	DHRS7_MOUSE	reviewed	Dehydrogenase/reductase SDR family member 7 (EC 1.1.-.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4)	Dhrs7 Retsdr4	Mus musculus (Mouse)	338
Q4KL91	Q4KL91	S36A4_XENLA	reviewed	Proton-coupled amino acid transporter 4 (Proton/amino acid transporter 4) (Solute carrier family 36 member 4)	slc36a4 pat4	Xenopus laevis (African clawed frog)	522
Q7ZVI7	Q7ZVI7	ACTB1_DANRE	reviewed	Actin, cytoplasmic 1 (Beta-actin-1) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	actba bact bactin1 bactzf	Danio rerio (Zebrafish) (Brachydanio rerio)	375
Q6P7G6	Q6P7G6	BRK1A_XENLA	reviewed	Probable protein BRICK1-A	brk1-a	Xenopus laevis (African clawed frog)	75
P46196	P46196	MK01_BOVIN	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1	Bos taurus (Bovine)	360
Q5SRE7	Q5SRE7	PHYD1_HUMAN	reviewed	Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)	PHYHD1	Homo sapiens (Human)	291
P20004	P20004	ACON_BOVIN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Bos taurus (Bovine)	780
P19414	P19414	ACON_YEAST	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO1 GLU1 YLR304C L8003.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	778
P47727	P47727	CBR1_RAT	reviewed	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)	Cbr1 Cbr	Rattus norvegicus (Rat)	277
Q8TCT6	Q8TCT6	SPPL3_HUMAN	reviewed	Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin homologous protein 1) (PSH1) (Presenilin-like protein 4)	SPPL3 IMP2 PSL4	Homo sapiens (Human)	384
W8E7I1	W8E7I1	RBM3_CAPHI	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3)	RBM3	Capra hircus (Goat)	160
O95922	O95922	TTLL1_HUMAN	reviewed	Probable tubulin polyglutamylase TTLL1 (EC 6.-.-.-) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1)	TTLL1 C22orf7	Homo sapiens (Human)	423
Q23SI8	Q23SI8	TTLL1_TETTS	reviewed	Probable alpha-tubulin polyglutamylase Ttll1 (EC 6.-.-.-) (Tubulin-tyrosine ligase family protein 1)	Ttll1 TTHERM_00136210	Tetrahymena thermophila (strain SB210)	413
Q13614	Q13614	MTMR2_HUMAN	reviewed	Myotubularin-related protein 2 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR2 KIAA1073	Homo sapiens (Human)	643
Q5ZIV1	Q5ZIV1	MTMR2_CHICK	reviewed	Myotubularin-related protein 2 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR2 RCJMB04_23g22	Gallus gallus (Chicken)	571
Q02370	Q02370	NDUA2_BOVIN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	NDUFA2	Bos taurus (Bovine)	99
Q5G271	Q5G271	NETR_PANTR	reviewed	Neurotrypsin (EC 3.4.21.-) (Serine protease 12)	PRSS12	Pan troglodytes (Chimpanzee)	875
A9WFR7	A9WFR7	PANB_CHLAA	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB Caur_2208	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	281
P51815	P51815	ZN75D_HUMAN	reviewed	Zinc finger protein 75D (Zinc finger protein 75) (Zinc finger protein 82)	ZNF75D ZNF75 ZNF82	Homo sapiens (Human)	510
Q8BM75	Q8BM75	ARI5B_MOUSE	reviewed	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (Developmentally and sexually retarded with transient immune abnormalities protein) (Desrt) (MRF1-like) (Modulator recognition factor protein 2) (MRF-2)	Arid5b Desrt Mrf2	Mus musculus (Mouse)	1188
Q5ZJ69	Q5ZJ69	ARI5B_CHICK	reviewed	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B)	ARID5B RCJMB04_20e24	Gallus gallus (Chicken)	1185
Q9Z1S0	Q9Z1S0	BUB1B_MOUSE	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (BubR1) (Mitotic checkpoint kinase MAD3L)	Bub1b Mad3l	Mus musculus (Mouse)	1052
Q7YZH1	Q7YZH1	RNO_DROME	reviewed	PHD finger protein rhinoceros	rno CG7036	Drosophila melanogaster (Fruit fly)	3241
Q9VH19	Q9VH19	LMLN_DROME	reviewed	Leishmanolysin-like peptidase (EC 3.4.24.-) (Invadolysin)	Invadolysin l(3)IX-14 CG3953	Drosophila melanogaster (Fruit fly)	683
Q9CZX5	Q9CZX5	PINX1_MOUSE	reviewed	PIN2/TERF1-interacting telomerase inhibitor 1 (67-11-3 protein) (LPTS1) (Liver-related putative tumor suppressor) (Pin2-interacting protein X1) (TRF1-interacting protein 1)	Pinx1 Lpts	Mus musculus (Mouse)	332
Q5E958	Q5E958	RS8_BOVIN	reviewed	40S ribosomal protein S8	RPS8	Bos taurus (Bovine)	208
Q96P53	Q96P53	WDFY2_HUMAN	reviewed	WD repeat and FYVE domain-containing protein 2 (Propeller-FYVE protein) (Prof) (WD40- and FYVE domain-containing protein 2) (Zinc finger FYVE domain-containing protein 22)	WDFY2 WDF2 ZFYVE22	Homo sapiens (Human)	400
Q1JPB0	Q1JPB0	ILEU_BOVIN	reviewed	Leukocyte elastase inhibitor (LEI) (Serpin B1)	SERPINB1	Bos taurus (Bovine)	377
P29508	P29508	SPB3_HUMAN	reviewed	Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)	SERPINB3 SCCA SCCA1	Homo sapiens (Human)	390
Q8VHP7	Q8VHP7	ILEUB_MOUSE	reviewed	Leukocyte elastase inhibitor B (Serine protease inhibitor EIB) (Serpin B1b)	Serpinb1b	Mus musculus (Mouse)	382
Q7TNL4	Q7TNL4	STK40_RAT	reviewed	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (Serine/threonine-protein kinase lyk4)	Stk40 Lyk4	Rattus norvegicus (Rat)	435
Q5HZM1	Q5HZM1	EIF1A_XENLA	reviewed	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein)	eif1ad	Xenopus laevis (African clawed frog)	169
P9WJV4	P9WJV4	MMPL3_MYCTO	reviewed	Trehalose monomycolate exporter MmpL3 (TMM exporter MmpL3)	mmpL3 MT0216	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	944
Q5R9S5	Q5R9S5	ZN182_PONAB	reviewed	Zinc finger protein 182 (Zinc finger protein 21)	ZNF182 ZNF21	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	620
Q16720	Q16720	AT2B3_HUMAN	reviewed	Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3)	ATP2B3	Homo sapiens (Human)	1220
Q98SH2	Q98SH2	AT2B1_CHICK	reviewed	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	ATP2B1 PMCA1	Gallus gallus (Chicken)	1205
Q6ZQ08	Q6ZQ08	CNOT1_MOUSE	reviewed	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1)	Cnot1 Kiaa1007	Mus musculus (Mouse)	2375
P48643	P48643	TCPE_HUMAN	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	541
Q9VWP4	Q9VWP4	SUOX_DROME	reviewed	Sulfite oxidase, mitochondrial (EC 1.8.3.1) (Protein shopper)	shop CG7280	Drosophila melanogaster (Fruit fly)	573
Q66I79	Q66I79	SELK_DANRE	reviewed	Selenoprotein K (SelK)	selenok selk zgc:103591	Danio rerio (Zebrafish) (Brachydanio rerio)	94
Q8T498	Q8T498	GAP2_DROME	reviewed	Ras GTPase-activating protein raskol	raskol CG42684	Drosophila melanogaster (Fruit fly)	1580
A0A2I4HXH5	A0A2I4HXH5	V5NTD_NAJAT	reviewed	Snake venom 5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Fragment)		Naja atra (Chinese cobra)	529
O88643	O88643	PAK1_MOUSE	reviewed	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (CDC42/RAC effector kinase PAK-A) (p21-activated kinase 1) (PAK-1) (p65-PAK)	Pak1 Paka	Mus musculus (Mouse)	545
Q9QZX9	Q9QZX9	CEP19_RAT	reviewed	Centrosomal protein of 19 kDa (Cep19)	Cep19	Rattus norvegicus (Rat)	163
Q9CTY5	Q9CTY5	MICU3_MOUSE	reviewed	Calcium uptake protein 3, mitochondrial (EF-hand domain-containing family member A2)	Micu3 Efha2	Mus musculus (Mouse)	523
Q9CQA8	Q9CQA8	CEP19_MOUSE	reviewed	Centrosomal protein of 19 kDa (Cep19)	Cep19	Mus musculus (Mouse)	163
F8VPZ5	F8VPZ5	ERCC6_MOUSE	reviewed	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	Ercc6 Csb	Mus musculus (Mouse)	1481
Q03468	Q03468	ERCC6_HUMAN	reviewed	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	ERCC6 CSB	Homo sapiens (Human)	1493
P17967	P17967	PDI_YEAST	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)	PDI1 MFP1 TRG1 YCL043C YCL313 YCL43C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	522
P23128	P23128	DDX6_DROME	reviewed	ATP-dependent RNA helicase me31b (EC 3.6.4.13) (Maternal expression at 31B)	me31B CG4916	Drosophila melanogaster (Fruit fly)	459
Q5ZJ66	Q5ZJ66	SYEM_CHICK	reviewed	Probable glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	EARS2 RCJMB04_20f12	Gallus gallus (Chicken)	502
Q0X0E2	Q0X0E2	HEXI2_BOVIN	reviewed	Protein HEXIM2	HEXIM2	Bos taurus (Bovine)	287
Q6DIY8	Q6DIY8	M17L2_XENTR	reviewed	Mpv17-like protein 2	mpv17l2	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	222
Q9VJ34	Q9VJ34	GSTCD_DROME	reviewed	Glutathione S-transferase C-terminal domain-containing protein homolog	CG10428	Drosophila melanogaster (Fruit fly)	585
Q96MB7	Q96MB7	HARB1_HUMAN	reviewed	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	HARBI1 C11orf77	Homo sapiens (Human)	349
Q17QR8	Q17QR8	HARB1_BOVIN	reviewed	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	HARBI1	Bos taurus (Bovine)	349
Q86IX1	Q86IX1	DST1_DICDI	reviewed	Serine/threonine-protein kinase dst1 (EC 2.7.11.1)	dst1 dstA DDB_G0274593	Dictyostelium discoideum (Slime mold)	737
Q6VNB8	Q6VNB8	WDFY3_MOUSE	reviewed	WD repeat and FYVE domain-containing protein 3 (Beach domain, WD repeat and FYVE domain-containing protein 1) (BWF1)	Wdfy3	Mus musculus (Mouse)	3508
Q8IZQ1	Q8IZQ1	WDFY3_HUMAN	reviewed	WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy)	WDFY3 KIAA0993	Homo sapiens (Human)	3526
P28024	P28024	PSB4_XENLA	reviewed	Proteasome subunit beta type-4 (EC 3.4.25.1) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (Fragment)	psmb4	Xenopus laevis (African clawed frog)	242
D2AV87	D2AV87	4HYPE_STRRD	reviewed	4-hydroxyproline 2-epimerase (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8)	Sros_6004	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / NI 9100)	333
Q2KD13	Q2KD13	4HYPE_RHIEC	reviewed	4-hydroxyproline 2-epimerase (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8)	RHE_CH00452	Rhizobium etli (strain CFN 42 / ATCC 51251)	345
A8MR89	A8MR89	AEL1_ARATH	reviewed	Protein AE7-like 1 (MIP18 family protein At3g50845)	AEL1 At3g50845 F18B3	Arabidopsis thaliana (Mouse-ear cress)	154
Q9V968	Q9V968	GALL1_DROME	reviewed	MIP18 family protein galla-1	galla-1 CG30152	Drosophila melanogaster (Fruit fly)	218
Q2TBG9	Q2TBG9	TM169_BOVIN	reviewed	Transmembrane protein 169	TMEM169	Bos taurus (Bovine)	297
Q290X1	Q290X1	SWET1_DROPS	reviewed	Sugar transporter SWEET1 (Protein saliva)	slv GA21278	Drosophila pseudoobscura pseudoobscura (Fruit fly)	226
Q9BG99	Q9BG99	TREX1_BOVIN	reviewed	Three-prime repair exonuclease 1 (EC 3.1.11.2) (3'-5' exonuclease TREX1)	TREX1	Bos taurus (Bovine)	315
Q8BMS4	Q8BMS4	COQ3_MOUSE	reviewed	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	Coq3	Mus musculus (Mouse)	370
A7MB11	A7MB11	TGFA1_BOVIN	reviewed	Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1)	TGFBRAP1	Bos taurus (Bovine)	859
Q8WUH2	Q8WUH2	TGFA1_HUMAN	reviewed	Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1)	TGFBRAP1	Homo sapiens (Human)	860
Q68F62	Q68F62	MP17L_XENLA	reviewed	Mpv17-like protein	mpv17l	Xenopus laevis (African clawed frog)	203
P28661	P28661	SEPT4_MOUSE	reviewed	Septin-4 (Brain protein H5) (Peanut-like protein 2)	Septin4 Pnutl2 Sept4	Mus musculus (Mouse)	478
Q8QFR2	Q8QFR2	HIRA_XENLA	reviewed	Protein HIRA	hira hira-a	Xenopus laevis (African clawed frog)	1013
B2RXR6	B2RXR6	ANR44_MOUSE	reviewed	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44)	Ankrd44	Mus musculus (Mouse)	993
P11144	P11144	HSP70_PLAFA	reviewed	Heat shock 70 kDa protein (HSP70) (74.3 kDa protein) (Cytoplasmic antigen)		Plasmodium falciparum	681
Q8TD26	Q8TD26	CHD6_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.12) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein)	CHD6 CHD5 KIAA1335 RIGB	Homo sapiens (Human)	2715
P13115	P13115	SRC1_XENLA	reviewed	Tyrosine-protein kinase Src-1 (EC 2.7.10.2) (p60-Src-1)	src-a src1	Xenopus laevis (African clawed frog)	532
O43196	O43196	MSH5_HUMAN	reviewed	MutS protein homolog 5 (hMSH5)	MSH5	Homo sapiens (Human)	834
Q9W534	Q9W534	MOODY_DROME	reviewed	G-protein coupled receptor moody	moody CG4322	Drosophila melanogaster (Fruit fly)	670
Q9GZT9	Q9GZT9	EGLN1_HUMAN	reviewed	Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20)	EGLN1 C1orf12 PNAS-118 PNAS-137	Homo sapiens (Human)	426
A4UHC0	A4UHC0	CALM_ALEFU	reviewed	Calmodulin (CaM)		Alexandrium fundyense (Dinoflagellate)	149
P91891	P91891	MO25_DROME	reviewed	Protein Mo25 (dMo25)	Mo25 CG4083	Drosophila melanogaster (Fruit fly)	339
P87242	P87242	HDD1_SCHPO	reviewed	5'-deoxynucleotidase hdd1 (EC 3.1.3.89)	hdd1 SPCC4G3.17	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	198
Q9Z2G9	Q9Z2G9	HTAI2_MOUSE	reviewed	Oxidoreductase HTATIP2 (EC 1.1.1.-)	Htatip2 Cc3 Tip30	Mus musculus (Mouse)	242
