Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (UniPathway)	Cross-reference (InterPro)	Cross-reference (PANTHER)
Q24524	SING_DROME	reviewed	Protein singed	sn CG1536	Drosophila melanogaster (Fruit fly)	512	actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; antennal morphogenesis [GO:0048800]; cell migration [GO:0016477]; chaeta morphogenesis [GO:0008407]; cuticle pattern formation [GO:0035017]; dendrite development [GO:0016358]; epidermal cell differentiation [GO:0009913]; establishment or maintenance of cell polarity [GO:0007163]; filopodium assembly [GO:0046847]; hemocyte migration [GO:0035099]; imaginal disc-derived wing hair organization [GO:0035317]; microvillar actin bundle assembly [GO:0030034]; neuron projection morphogenesis [GO:0048812]; oogenesis [GO:0048477]; wound healing [GO:0042060]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; protein-macromolecule adaptor activity [GO:0030674]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; antennal morphogenesis [GO:0048800]; cell migration [GO:0016477]; chaeta morphogenesis [GO:0008407]; cuticle pattern formation [GO:0035017]; dendrite development [GO:0016358]; epidermal cell differentiation [GO:0009913]; establishment or maintenance of cell polarity [GO:0007163]; filopodium assembly [GO:0046847]; hemocyte migration [GO:0035099]; imaginal disc-derived wing hair organization [GO:0035317]; microvillar actin bundle assembly [GO:0030034]; neuron projection morphogenesis [GO:0048812]; oogenesis [GO:0048477]; wound healing [GO:0042060]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; protein-macromolecule adaptor activity [GO:0030674]	GO:0003779; GO:0005737; GO:0007163; GO:0008407; GO:0009913; GO:0015629; GO:0016358; GO:0016477; GO:0030034; GO:0030036; GO:0030674; GO:0035017; GO:0035099; GO:0035317; GO:0042060; GO:0043005; GO:0043025; GO:0046847; GO:0048477; GO:0048800; GO:0048812; GO:0051015; GO:0051017		IPR008999;IPR010431;IPR022768;IPR024703;	PTHR10551;
Q23979	MY61F_DROME	reviewed	Unconventional myosin IC (MyoIC) (Brush border myosin IB) (BBMIB) (Myosin-IB) (MIB) (Unconventional myosin 1C) (Myo1C)	Myo61F Myo1C CG9155	Drosophila melanogaster (Fruit fly)	1035	actin filament organization [GO:0007015]; defense response to bacterium [GO:0042742]; determination of left/right symmetry [GO:0007368]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; mesoderm development [GO:0007498]; microvillus organization [GO:0032528]; vesicle transport along actin filament [GO:0030050]	actin cytoskeleton [GO:0015629]; brush border [GO:0005903]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; microvillus [GO:0005902]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]; vesicle [GO:0031982]	actin cytoskeleton [GO:0015629]; brush border [GO:0005903]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; microvillus [GO:0005902]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; actin filament organization [GO:0007015]; defense response to bacterium [GO:0042742]; determination of left/right symmetry [GO:0007368]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; mesoderm development [GO:0007498]; microvillus organization [GO:0032528]; vesicle transport along actin filament [GO:0030050]	actin-dependent ATPase activity [GO:0030898]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]	GO:0000146; GO:0005516; GO:0005524; GO:0005546; GO:0005737; GO:0005886; GO:0005902; GO:0005903; GO:0005938; GO:0007015; GO:0007368; GO:0007498; GO:0015629; GO:0016459; GO:0030050; GO:0030898; GO:0031982; GO:0032528; GO:0042742; GO:0048803; GO:0051015		IPR000048;IPR036961;IPR001609;IPR010926;IPR036072;IPR027417;	
Q96ST3	SIN3A_HUMAN	reviewed	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	SIN3A	Homo sapiens (Human)	1273	activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; cerebral cortex neuron differentiation [GO:0021895]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deacetylation [GO:0006476]; regulation of axon extension [GO:0030516]; regulation of hormone levels [GO:0010817]; regulation of lipid metabolic process [GO:0019216]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to methylglyoxal [GO:0051595]; rhythmic process [GO:0048511]	chromatin [GO:0000785]; histone deacetylase complex [GO:0000118]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; transcription repressor complex [GO:0017053]	chromatin [GO:0000785]; histone deacetylase complex [GO:0000118]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; transcription repressor complex [GO:0017053]; chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor inhibitor activity [GO:0140416]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription corepressor activity [GO:0003714]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; cerebral cortex neuron differentiation [GO:0021895]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deacetylation [GO:0006476]; regulation of axon extension [GO:0030516]; regulation of hormone levels [GO:0010817]; regulation of lipid metabolic process [GO:0019216]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to methylglyoxal [GO:0051595]; rhythmic process [GO:0048511]	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor inhibitor activity [GO:0140416]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription corepressor activity [GO:0003714]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000118; GO:0000122; GO:0000776; GO:0000785; GO:0000976; GO:0001102; GO:0001103; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003682; GO:0003700; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0006260; GO:0006476; GO:0007568; GO:0010817; GO:0010971; GO:0016575; GO:0016580; GO:0017053; GO:0019216; GO:0021895; GO:0030516; GO:0031937; GO:0034613; GO:0042754; GO:0043066; GO:0043619; GO:0044877; GO:0045652; GO:0045666; GO:0045892; GO:0045944; GO:0048511; GO:0051595; GO:0071333; GO:0140416; GO:1900181; GO:1901675; GO:1903351; GO:2000678		IPR013194;IPR003822;IPR036600;IPR039774;IPR031693;IPR037969;	PTHR12346;PTHR12346:SF2;
Q8BZ20	PAR12_MOUSE	reviewed	Protein mono-ADP-ribosyltransferase PARP12 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Poly [ADP-ribose] polymerase 12) (PARP-12) (Zinc finger CCCH domain-containing protein 1)	Parp12 Zc3hdc1	Mus musculus (Mouse)	711	protein auto-ADP-ribosylation [GO:0070213]; protein mono-ADP-ribosylation [GO:0140289]	nucleus [GO:0005634]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylase activity [GO:1990404]; protein auto-ADP-ribosylation [GO:0070213]; protein mono-ADP-ribosylation [GO:0140289]	metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylase activity [GO:1990404]	GO:0003950; GO:0005634; GO:0046872; GO:0070213; GO:0140289; GO:1990404		IPR012317;IPR004170;IPR037197;IPR000571;	
E1C1R4	UBP47_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	Gallus gallus (Chicken)	1375	base-excision repair [GO:0006284]; cellular response to DNA damage stimulus [GO:0006974]; monoubiquitinated protein deubiquitination [GO:0035520]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; base-excision repair [GO:0006284]; cellular response to DNA damage stimulus [GO:0006974]; monoubiquitinated protein deubiquitination [GO:0035520]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]	GO:0004197; GO:0004843; GO:0005634; GO:0005737; GO:0005829; GO:0006284; GO:0006511; GO:0006974; GO:0016579; GO:0035520		IPR038765;IPR001394;IPR000626;IPR018200;IPR028889;	
Q8VHC8	MA2B1_CAVPO	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	MAN2B1 MANB	Cavia porcellus (Guinea pig)	1007	mannose metabolic process [GO:0006013]	lysosome [GO:0005764]	lysosome [GO:0005764]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	GO:0004559; GO:0005764; GO:0006013; GO:0030246; GO:0046872		IPR011013;IPR041147;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;	
Q9DBY1	SYVN1_MOUSE	reviewed	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	Syvn1 Hrd1 Kiaa1810	Mus musculus (Mouse)	612	ERAD pathway [GO:0036503]; immature B cell differentiation [GO:0002327]; in utero embryonic development [GO:0001701]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein catabolic process [GO:0030163]; protein K48-linked ubiquitination [GO:0070936]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	Derlin-1 retrotranslocation complex [GO:0036513]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]; ubiquitin ligase complex [GO:0000151]	Derlin-1 retrotranslocation complex [GO:0036513]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]; ubiquitin ligase complex [GO:0000151]; ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]; ERAD pathway [GO:0036503]; immature B cell differentiation [GO:0002327]; in utero embryonic development [GO:0001701]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein catabolic process [GO:0030163]; protein K48-linked ubiquitination [GO:0070936]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]	GO:0000151; GO:0000839; GO:0001701; GO:0002327; GO:0005654; GO:0005783; GO:0005790; GO:0006511; GO:0006986; GO:0012505; GO:0016021; GO:0016567; GO:0030163; GO:0030433; GO:0030970; GO:0036503; GO:0036513; GO:0046872; GO:0050821; GO:0051082; GO:0051087; GO:0051117; GO:0061630; GO:0070936; GO:1902236; GO:1990381	UPA00143	IPR032832;IPR001841;IPR013083;	PTHR22763:SF173;
Q5T4S7	UBR4_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183	neutrophil degranulation [GO:0043312]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032]	centrosome [GO:0005813]; cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]	centrosome [GO:0005813]; cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; calmodulin binding [GO:0005516]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; neutrophil degranulation [GO:0043312]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032]	calmodulin binding [GO:0005516]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0004842; GO:0005516; GO:0005654; GO:0005813; GO:0005829; GO:0005886; GO:0006511; GO:0008270; GO:0016020; GO:0016021; GO:0016032; GO:0035579; GO:0043312; GO:0061630; GO:0070821; GO:0101003	UPA00143	IPR016024;IPR025704;IPR036322;IPR003126;	
O97159	CHDM_DROME	reviewed	Chromodomain-helicase-DNA-binding protein Mi-2 homolog (EC 3.6.4.12) (ATP-dependent helicase Mi-2) (dMi-2)	Mi-2 CG8103	Drosophila melanogaster (Fruit fly)	1982	ATP-dependent chromatin remodeling [GO:0043044]; chromosome condensation [GO:0030261]; chromosome decondensation [GO:0051312]; chromosome organization [GO:0051276]; negative regulation of cohesin loading [GO:0071923]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome mobilization [GO:0042766]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]	cytosol [GO:0005829]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; polytene chromosome [GO:0005700]; transcriptionally active chromatin [GO:0035327]	cytosol [GO:0005829]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; polytene chromosome [GO:0005700]; transcriptionally active chromatin [GO:0035327]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; zinc ion binding [GO:0008270]; ATP-dependent chromatin remodeling [GO:0043044]; chromosome condensation [GO:0030261]; chromosome decondensation [GO:0051312]; chromosome organization [GO:0051276]; negative regulation of cohesin loading [GO:0071923]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleosome mobilization [GO:0042766]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; zinc ion binding [GO:0008270]	GO:0000122; GO:0003677; GO:0003678; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005700; GO:0005829; GO:0006357; GO:0007283; GO:0008270; GO:0016581; GO:0016887; GO:0030261; GO:0031491; GO:0035327; GO:0042766; GO:0043044; GO:0045892; GO:0051276; GO:0051312; GO:0070615; GO:0071923		IPR012957;IPR012958;IPR016197;IPR000953;IPR023780;IPR002464;IPR009462;IPR009463;IPR014001;IPR001650;IPR027417;IPR038718;IPR000330;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;	
Q7SXW3	LRC40_DANRE	reviewed	Leucine-rich repeat-containing protein 40	lrrc40 zgc:63729	Danio rerio (Zebrafish) (Brachydanio rerio)	601							IPR001611;IPR003591;IPR032675;	
Q9P2E3	ZNFX1_HUMAN	reviewed	NFX1-type zinc finger-containing protein 1	ZNFX1 KIAA1404	Homo sapiens (Human)	1918	heterochromatin assembly by small RNA [GO:0031048]; pericentric heterochromatin assembly [GO:0031508]	nuclear chromatin [GO:0000790]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]	nuclear chromatin [GO:0000790]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; heterochromatin assembly by small RNA [GO:0031048]; pericentric heterochromatin assembly [GO:0031508]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0000790; GO:0000981; GO:0003723; GO:0005634; GO:0008270; GO:0031048; GO:0031380; GO:0031508		IPR016024;IPR041679;IPR041677;IPR027417;IPR000967;	
P41900	T2FB_DROME	reviewed	General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase TfIIF-beta) (Transcription initiation factor IIF subunit beta) (TFIIF-beta)	TfIIFbeta TFIIF30 CG6538	Drosophila melanogaster (Fruit fly)	277	positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; TFIIF-class transcription factor complex binding [GO:0001096]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; TFIIF-class transcription factor complex binding [GO:0001096]	GO:0001096; GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0005674; GO:0006366; GO:0006367; GO:0006368; GO:0032968; GO:0060261		IPR003196;IPR040450;IPR040504;IPR011039;IPR036388;IPR036390;	PTHR10445;
P86733	KCP_HALAI	reviewed	BPTI/Kunitz domain-containing protein (Fragment)		Haliotis asinina (Donkey's ear abalone) (Ass's ear abalone)	126		extracellular region [GO:0005576]	extracellular region [GO:0005576]; serine-type endopeptidase inhibitor activity [GO:0004867]	serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0005576		IPR002223;IPR036880;IPR020901;	
Q863I2	OXSR1_PIG	reviewed	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1 OSR1	Sus scrofa (Pig)	529	activation of protein kinase activity [GO:0032147]; chemokine (C-X-C motif) ligand 12 signaling pathway [GO:0038146]; intracellular signal transduction [GO:0035556]; osmosensory signaling pathway [GO:0007231]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of T cell chemotaxis [GO:0010820]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; signal transduction by trans-phosphorylation [GO:0023016]; stress-activated protein kinase signaling cascade [GO:0031098]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; chemokine (C-X-C motif) ligand 12 signaling pathway [GO:0038146]; intracellular signal transduction [GO:0035556]; osmosensory signaling pathway [GO:0007231]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of T cell chemotaxis [GO:0010820]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; signal transduction by trans-phosphorylation [GO:0023016]; stress-activated protein kinase signaling cascade [GO:0031098]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]	GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0007231; GO:0007346; GO:0010820; GO:0018107; GO:0019901; GO:0023014; GO:0023016; GO:0031098; GO:0032147; GO:0035556; GO:0038146; GO:0042802; GO:0046777		IPR011009;IPR024678;IPR028749;IPR000719;IPR017441;	PTHR24361:SF435;
Q6GVM6	DDX3Y_PANTR	reviewed	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)	DDX3Y	Pan troglodytes (Chimpanzee)	660	cell differentiation [GO:0030154]; gamete generation [GO:0007276]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; cell differentiation [GO:0030154]; gamete generation [GO:0007276]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0007276; GO:0030154; GO:0043186		IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	
Q9ULT8	HECD1_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1)	HECTD1 KIAA1131	Homo sapiens (Human)	2610	anatomical structure development [GO:0048856]; aorta development [GO:0035904]; heart valve development [GO:0003170]; protein K63-linked ubiquitination [GO:0070534]; ventricular septum development [GO:0003281]		metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; anatomical structure development [GO:0048856]; aorta development [GO:0035904]; heart valve development [GO:0003170]; protein K63-linked ubiquitination [GO:0070534]; ventricular septum development [GO:0003281]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0003170; GO:0003281; GO:0004842; GO:0035904; GO:0046872; GO:0048856; GO:0070534	UPA00143	IPR002110;IPR020683;IPR036770;IPR011989;IPR016024;IPR041200;IPR008979;IPR000569;IPR035983;IPR010606;IPR037252;IPR012919;	
